iter	Passed	Remaining
537	22673	19470
538	22711	19424
539	22750	19379
540	22790	19336
541	22828	19290
542	22868	19246
543	22908	19203
544	22951	19160
545	22990	19116
546	23032	19074
547	23071	19029
548	23110	18984
549	23150	18941
550	23190	18897
551	23231	18854
552	23270	18810
553	23311	18767
554	23352	18724
555	23394	18681
556	23433	18637
557	23472	18593
558	23511	18548
559	23551	18505
560	23591	18461
561	23630	18416
562	23670	18372
563	23710	18329
564	23752	18287
565	23791	18243
566	23832	18200
567	23872	18156
568	23914	18114
569	23957	18072
570	23997	18029
571	24038	17986
572	24078	17943
573	24118	17899
574	24157	17855
575	24196	17811
576	24235	17767
577	24277	17724
578	24315	17680
579	24354	17636
580	24394	17592
581	24434	17548
582	24473	17505
583	24513	17461
584	24552	17417
585	24591	17373
586	24632	17331
587	24676	17290
588	24716	17247
589	24756	17203
590	24796	17160
591	24836	17117
592	24876	17073
593	24914	17029
594	24954	16985
595	24993	16942
596	25033	16898
597	25075	16856
598	25115	16813
599	25156	16771
600	25195	16727
601	25236	16684
602	25277	16642
603	25318	16599
604	25361	16558
605	25401	16514
606	25442	16472
607	25480	16428
608	25521	16385
609	25561	16342
610	25603	16300
611	25643	16257
612	25686	16216
613	25728	16174
614	25770	16132
615	25813	16091
616	25856	16050
617	25897	16007
618	25938	15965
619	25977	15921
620	26019	15880
621	26060	15837
622	26102	15795
623	26142	15752
624	26183	15710
625	26225	15668
626	26266	15625
627	26304	15581
628	26345	15539
629	26386	15496
630	26428	15454
631	26469	15412
632	26510	15370
633	26550	15327
634	26590	15284
635	26630	15241
636	26673	15199
637	26714	15157
638	26753	15114
639	26794	15072
640	26834	15029
641	26875	14986
642	26918	14945
643	26957	14901
644	26997	14859
645	27040	14817
646	27085	14777
647	27136	14740
648	27184	14702
649	27230	14662
650	27274	14621
651	27315	14579
652	27357	14537
653	27400	14496
654	27441	14454
655	27483	14412
656	27524	14369
657	27565	14327
658	27606	14284
659	27646	14242
660	27685	14198
661	27727	14156
662	27767	14114
663	27808	14071
664	27850	14029
665	27892	13988
666	27935	13946
667	27976	13904
668	28019	13863
669	28063	13822
670	28104	13780
671	28146	13738
672	28191	13697
673	28234	13656
674	28277	13615
675	28320	13573
676	28362	13532
677	28405	13490
678	28448	13449
679	28491	13407
680	28533	13365
681	28575	13324
682	28618	13282
683	28658	13239
684	28699	13197
685	28741	13155
686	28784	13114
687	28824	13071
688	28866	13029
689	28906	12987
690	28948	12945
691	28989	12902
692	29031	12861
693	29074	12819
694	29116	12777
695	29156	12735
696	29196	12692
697	29236	12649
698	29277	12607
699	29317	12564
700	29358	12522
701	29399	12480
702	29440	12437
703	29483	12396
704	29524	12354
705	29565	12312
706	29605	12269
707	29647	12227
708	29687	12184
709	29728	12142
710	29768	12099
711	29807	12056
712	29848	12014
713	29889	11972
714	29930	11930
715	29970	11887
716	30011	11845
717	30053	11803
718	30094	11761
719	30136	11719
720	30178	11677
721	30220	11636
722	30259	11593
723	30298	11550
724	30340	11508
725	30380	11465
726	30421	11423
727	30460	11380
728	30499	11337
729	30538	11294
730	30577	11252
731	30616	11209
732	30655	11166
733	30695	11124
734	30736	11081
735	30776	11039
736	30818	10997
737	30859	10955
738	30898	10912
739	30938	10870
740	30978	10827
741	31017	10785
742	31057	10742
743	31098	10700
744	31138	10658
745	31178	10615
746	31217	10572
747	31258	10530
748	31297	10488
749	31337	10445
750	31379	10404
751	31420	10362
752	31460	10319
753	31499	10277
754	31539	10234
755	31580	10192
756	31621	10150
757	31662	10108
758	31702	10066
759	31742	10024
760	31783	9981
761	31822	9939
762	31862	9897
763	31902	9854
764	31943	9812
765	31984	9770
766	32025	9728
767	32065	9686
768	32106	9644
769	32146	9602
770	32186	9559
771	32225	9517
772	32266	9475
773	32306	9433
774	32347	9391
775	32389	9349
776	32433	9308
777	32474	9266
778	32513	9223
779	32554	9182
780	32595	9140
781	32634	9097
782	32673	9055
783	32713	9012
784	32752	8970
785	32792	8928
786	32832	8886
787	32874	8844
788	32916	8802
789	32958	8761
790	32999	8719
791	33041	8677
792	33082	8635
793	33122	8593
794	33162	8551
795	33203	8509
796	33244	8467
797	33287	8426
798	33330	8384
799	33371	8342
800	33413	8301
801	33457	8259
802	33498	8218
803	33541	8176
804	33584	8135
805	33628	8094
806	33670	8052
807	33713	8011
808	33754	7969
809	33796	7927
810	33838	7885
811	33879	7844
812	33921	7802
813	33963	7760
814	34003	7718
815	34042	7676
816	34083	7634
817	34124	7592
818	34165	7550
819	34206	7508
820	34247	7466
821	34288	7425
822	34330	7383
823	34370	7341
824	34411	7299
825	34454	7257
826	34497	7216
827	34538	7174
828	34579	7132
829	34622	7091
830	34665	7049
831	34705	7007
832	34746	6965
833	34788	6924
834	34830	6882
835	34871	6840
836	34914	6799
837	34959	6758
838	35005	6717
839	35047	6675
840	35089	6634
841	35132	6592
842	35172	6550
843	35214	6508
844	35256	6467
845	35298	6425
846	35341	6383
847	35383	6342
848	35426	6300
849	35470	6259
850	35512	6217
851	35555	6176
852	35601	6135
853	35654	60985854	35702	60585855	35747	60185856	35787	59785857	35830	59385858	35873	58885859	35912	58486860	35954	58086861	35996	57686862	36039	57286863	36079	56786864	36121	56386865	36163	55986866	36204	55586867	36243	55186868	36282	54686869	36323	54287870	36363	53887871	36403	53487872	36442	53087873	36483	52587874	36523	52187875	36566	51787876	36607	51387877	36647	50987878	36687	50587879	36726	50088880	36767	49688881	36807	49288882	36849	48888883	36890	48488884	36932	47988885	36974	47588886	37019	47188887	37064	46788888	37107	46388889	37149	45989890	37190	45489891	37230	45089892	37271	44689893	37313	44289894	37356	43889895	37399	43489896	37441	42989897	37482	42589898	37525	42189899	37570	41790900	37610	41390901	37653	40990902	37694	40490903	37734	40090904	37776	39690905	37817	39290906	37861	38890907	37904	38490908	37945	37990909	37987	37591910	38028	37191911	38071	36791912	38114	36391913	38156	35991914	38196	35491915	38237	35091916	38280	34691917	38321	34291918	38361	33891919	38402	33392920	38443	32992921	38483	32592922	38524	32192923	38564	31792924	38604	31392925	38643	30892926	38681	30492927	38721	30092928	38759	29692929	38798	29293930	38839	28793931	38879	28393932	38923	27993933	38964	27593934	39007	27193935	39046	26693936	39088	26293937	39130	25893938	39170	25493939	39209	25094940	39249	24694941	39291	24194942	39331	23794943	39372	23394944	39414	22994945	39453	22594946	39494	22194947	39533	21694948	39572	21294949	39612	20895950	39654	20495951	39694	20095952	39734	19595953	39775	19195954	39815	18795955	39854	18395956	39893	17995957	39933	17595958	39973	17095959	40012	16696960	40053	16296961	40093	15896962	40132	15496963	40170	15096964	40211	14596965	40253	14196966	40292	13796967	40332	13396968	40373	12996969	40415	12497970	40456	12097971	40495	11697972	40538	11297973	40578	10897974	40619	10497975	40660	9997976	40698	9597977	40738	9197978	40777	8797979	40818	8398980	40857	7998981	40898	7498982	40940	7098983	40979	6698984	41018	6298985	41058	5898986	41097	5498987	41137	4998988	41179	4598989	41221	4199990	41261	3799991	41301	3399992	41341	2999993	41381	2499994	41421	2099995	41462	1699996	41502	1299997	41541	899998	41581	499999	41619	0
